1;1;24486139070;Lucas Dinis Souza;lucas.souza@aluno.mycontrol.com.br;lucas_souza.jpg
2;2;82736336089;Daniel Sá Chousa;daniel.chousa@aluno.mycontrol.com.br;daniel_chousa.jpg
3;3;45334520007;Noé Valadim Urias;noe.urias@aluno.mycontrol.com.br;noe_urias.jpg
4;4;64024391003;Leonardo Caeiro Bilhalva;leonardo.bilhalva@aluno.mycontrol.com.br;leonardo_bilhalva.jpg
5;5;49993599018;Riana Bouça Gentil;riana.gentil@aluno.mycontrol.com.br;riana_gentil.jpg
6;6;2428293095;Laryssa Picão Fontes;laryssa.fontes@aluno.mycontrol.com.br;laryssa_fontes.jpg
7;7;67416976081;Briana Aguiar Cunha;briana.cunha@aluno.mycontrol.com.br;briana_cunha.jpg
8;8;55012620020;Michael Aquino Sampaio;michael.sampaio@aluno.mycontrol.com.br;michael_sampaio.jpg
9;9;20257058087;Giulia Boeira Campelo;giulia.campelo@aluno.mycontrol.com.br;giulia_campelo.jpg
10;10;68912468065;Anabel Cedraz Albuquerque;anabel.albuquerque@aluno.mycontrol.com.br;anabel_albuquerque.jpg
